Id;Label;Category;Account;Company;BankName; Capital ;Rate;DurationInMonth;StartDate
1;FY983VW;VEHICULE;16459900;ARLES;SG;18500,00;0,01800;48;16/05/2021
2;FY984VW;VEHICULE;16450000;ARLES;SG;18500,00;0,01800;48;16/05/2021
3;FY985VW;VEHICULE;16450100;ARLES;SG;18500,00;0,01800;48;16/05/2021
4;FY986VW;VEHICULE;16450200;ARLES;SG;18500,00;0,01800;48;16/05/2021
5;FY988VW;VEHICULE;16450300;ARLES;SG;18500,00;0,01800;48;16/05/2021
6;EL949GG;VEHICULE;16450400;ARLES;SG;13100,00;0,01850;48;02/07/2021
7;NUMERIQUES SERVICES ;MATERIEL;16450500;ARLES;SG;37800,00;0,01800;48;10/07/2021
8;FZ845DK+BRANCARD ;VEHICULE;16450600;ARLES;SG;49978,00;0,01800;48;18/07/2021
9;GA661GP;VEHICULE;16450700;ARLES;SG;22100,00;0,01850;48;18/07/2021
10;GB514LP;VEHICULE;16450800;ARLES;SG;18800,00;0,01650;48;26/09/2021
11;GB587LJ;VEHICULE;16450900;ARLES;SG;18600,00;0,01650;48;26/09/2021
12;GB588LJ;VEHICULE;16451100;ARLES;SG;18600,00;0,01650;48;26/09/2021
13;GC285SR;VEHICULE;16451200;ARLES;SG;19169,00;0,01850;48;29/10/2021
14;GD333FB;VEHICULE;16451300;ARLES;SG;36100,00;0,01550;48;24/12/2021
15;GD858FB;VEHICULE;16451400;ARLES;SG;31100,00;0,01550;48;24/12/2021
16;GD452FC;VEHICULE;16451500;ARLES;SG;31100,00;0,01550;48;24/12/2021
17;GDMFC;VEHICULE;16451600;ARLES;SG;31100,00;0,01550;48;24/12/2021
18;STRYKER;VEHICULE;16451700;ARLES;SG;11131,00;0,01450;48;21/03/2022
19;ARF France BRANCARD ;MATERIEL;16451800;ARLES;SG;20060,00;0,01450;48;21/03/2022
20;GM660JM;VEHICULE;16451900;ARLES;SG;36000,00;0,01550;48;21/05/2022
21;GF266CX;VEHICULE;16452000;ARLES;SG;20405,00;0,01750;48;12/06/2022
22;GH627GS;VEHICULE;16452100;ARLES;SG;34815,00;0,01950;48;19/07/2022
23;GH369GS;VEHICULE;16452200;ARLES;SG;34815,00;0,01550;48;25/07/2022
24;GH120GT;VEHICULE;16452300;ARLES;SG;34815,00;0,01550;48;25/07/2022
25;GH557GQ;VEHICULE;16452400;ARLES;SG;34815,00;0,01550;48;21/07/2022
26;GF004PD ;VEHICULE;16452600;ARLES;SG;21900,00;0,02440;48;05/09/2022
27;GJ321FS;VEHICULE;16452700;ARLES;SG;43755,00;0,01650;48;12/08/2022
28;GJ267FS;VEHICULE;16452800;ARLES;SG;43755,00;0,01650;48;12/08/2022
29;GH239HW;VEHICULE;16452900;ARLES;SG;34815,00;0,01550;48;25/07/2022
30;GL368XZ;VEHICULE;16453000;ARLES;SG;23573,00;0,03200;48;01/03/2023
31;GL210VF;VEHICULE;16453100;ARLES;SG;23573,00;0,03200;48;03/03/2023
32;GL805VF;VEHICULE;16453200;ARLES;SG;21326,00;0,03200;48;28/02/2023
33;GM551CS;VEHICULE;16453300;ARLES;SG;23573,00;0,03200;48;01/03/2023
34;GM178WN;VEHICULE;16453400;ARLES;SG;17500,00;0,03390;48;07/04/2023
35;GM615YA;VEHICULE;16453500;ARLES;SG;26400,00;0,03510;48;30/04/2023
36;GM958YC;VEHICULE;16453600;ARLES;SG;32420,00;0,03480;48;01/05/2023
37;GM518YC;VEHICULE;16453700;ARLES;SG;32420,00;0,03480;48;28/04/2023
38;GN950YD;VEHICULE;16453800;ARLES;SG;40833,00;0,03190;48;04/06/2023
39;GN437YE;VEHICULE;16453900;ARLES;SG;40833,00;0,03190;48;04/06/2023
40;GN625VR;VEHICULE;16454000;ARLES;SG;40833,00;0,03190;48;04/06/2023
41;GM336YD;VEHICULE;16454100;ARLES;SG;32416,00;0,03190;48;04/06/2023
42;GM814YD ;VEHICULE;16454200;ARLES;SG;32416,00;0,03190;48;04/06/2023
43;GP942EZ;VEHICULE;16454300;ARLES;SG;39000,00;0,03850;48;04/08/2023
44;GN481VR;VEHICULE;16454400;ARLES;SG;40900,00;0,03850;48;23/07/2023
45;GQ962EJ+GP245FY+GQMJJ+GQ949CG+GS561PV+GS506PV+GS041NK+GS310CK ;VEHICULE;16454500;ARLES;HSBC;450000,00;0,05650;48;01/12/2023
46;GN322VA;VEHICULE;16454600;ARLES;SG;57500,00;0,03910;48;15/10/2023
47;GNO17CP;VEHICULE;16454700;ARLES;SG;33500,00;0,03850;48;28/10/2023
48;GS606CE;VEHICULE;16454800;ARLES;SG;93000,00;0,03820;60;28/10/2023
49;GT486AX;VEHICULE;16454900;ARLES;SG;41929,00;0,04320;48;07/01/2024
50;GT672XH;VEHICULE;16455000;ARLES;SG;57500,00;0,03850;48;28/02/2024
51;CORBILLARD EN AT;VEHICULE;16455100;ARLES;SG;127000,00;0,03820;60;27/02/2024
52;GT273XB;VEHICULE;16455200;ARLES;SG;41583,00;0,03950;48;22/03/2024
53;GT301WN;VEHICULE;16455300;ARLES;SG;41583,00;0,03950;48;27/03/2024
54;GT110SL;VEHICULE;16455400;ARLES;SG;95000,00;0,03820;60;29/02/2024
55;GV301QB;VEHICULE;16455500;ARLES;SG;41583,00;0,03950;48;27/04/2024
56;GV253QB;VEHICULE;16455600;ARLES;SG;41583,00;0,03950;48;22/04/2024
57;GW042EY;VEHICULE;16455700;ARLES;SG;59166,00;0,03950;48;20/04/2024
58;GW249DR;VEHICULE;16455800;ARLES;SG;41583,00;0,03950;48;27/04/2024
59;GW489DR;VEHICULE;16455900;ARLES;SG;41583,00;0,03950;48;27/04/2024
60;GY433YD;VEHICULE;16456000;ARLES;SG;25079,00;0,03950;48;16/07/2024
61;GZ804KX;VEHICULE;16456100;ARLES;SG;25079,00;0,03950;48;16/07/2024
62;GY448LE;VEHICULE;16456200;ARLES;SG;25079,00;0,03950;48;16/07/2024
63;GY449LE;VEHICULE;16456300;ARLES;SG;25079,00;0,03950;48;16/07/2024
64;GY450LE;VEHICULE;16456400;ARLES;SG;25079,00;0,03950;48;16/07/2024
65;HA222BV;VEHICULE;16456500;ARLES;SG;59166,00;0,03950;48;20/06/2024
66;HA507PQ;VEHICULE;16456600;ARLES;SG;59166,00;0,03950;48;20/06/2024
67;ET313ZE+FJ760SJ+FH9MZV+FJ809SJ+FH020VD;VEHICULE;16456700;ARLES;SG;60000,00;0,03980;48;03/07/2024
68;HA101ZJ;VEHICULE;16456800;ARLES;SG;25552,00;0,03090;48;04/01/2025
69;HA970XC;VEHICULE;16456900;ARLES;SG;25552,00;0,03090;48;26/12/2024
70;HB271BE;VEHICULE;16457000;ARLES;SG;25552,00;0,03090;48;15/01/2025
71;HB343ZX;VEHICULE;16457100;ARLES;SG;20000,00;0,03030;48;28/02/2025
72;MOTEUR AVION;VEHICULE;16460000;ARLES;SG;30000,00;0,03070;60;23/05/2025
73;HC325XR;VEHICULE;16460100;ARLES;SG;60300,00;0,02950;48;17/05/2025
74;HD913EN;VEHICULE;16460200;ARLES;SG;26000,00;0,02900;48;14/05/2025
75;MIROFRET FRIGO ;MATERIEL;16460300;ARLES;SG;25600,00;0,03030;48;30/04/2025
76;SF-BRUNET-2AVXVCORPS;LOCAUX ;16400105;DELESSE;CM;360000,00;0,03300;156;15/03/2014
77;LA VALETTE USUFRUIT 3D ;LOCAUX ;16400113;DELESSE;SG;492000,00;0,01700;180;08/07/2018
78;TRAVAUX LA VALETTE;LOCAUX ;16400115;DELESSE;SG;200000,00;0,01560;84;15/09/2019
79;RACHATS PARTS ALTITUDE;PARTS;16400116;DELESSE;SG;250000,00;0,03370;84;14/06/2023
80;RACHATS PARTS SAV ;PARTS;16400117;DELESSE;SG;500040,00;0,04180;84;23/11/2023
81;TRAVAUX LA VALETTE;LOCAUX ;16400118;DELESSE;SG;350000,00;0,03950;84;10/11/2023
82;RACHATS PARTS ALPINE;PARTS;16400119;DELESSE;SG;2900000,00;0,03370;120;05/03/2025
83;NADINE;CREDIT VENDEUR;45670000;DELESSE;SG;210970,00;0,00000;120;04/01/2021
84;CHRISTIAN;CREDIT VENDEUR;45671000;DELESSE;SG;301306,68;0,00000;120;01/07/2021
85;FC BANDOL;LOCAUX ;16400712;FFPF;SG;300000,00;0,00810;84;22/12/2021
86;FC COULON;LOCAUX ;16400713;FFPF;SG;575000,00;0,03230;84;11/11/2022
87;PGE;PGE;16400208;SANAH;HSBC;250000,00;0,00310;47;22/07/2022
88;PGE;PGE;16400207;SANAH;SG;330000,00;0,00580;48;31/05/2022
89;TENUES CERBUL;MATERIEL;16400210;SANAH;SG;17105,00;0,01450;48;02/02/2022
90;POMPE FUNEBRES;LOCAUX ;16401710;PFO;CE;230000,00;0,02000;240;05/10/2019
91;VENTRE II;LOCAUX ;16401830;ARES ;CE;780000,00;0,03750;180;05/05/2025
92;EMPRUNT BRIANCON ;LOCAUX ;16401820;ARES ;CE;600000,00;0,04600;180;05/11/2024
93;EMPRUNT LOCAL DRAGUIGNAN ;LOCAUX ;16401810;ARES ;SG ;252000,00;0,04020;180;19/05/2024
94;PGE;PGE;16400409;SAV ;HSBC ;75000,00;0,00310;60;17/07/2021
95;PGE;PGE;16400408;SAV ;SG;80000,00;0,00580;60;30/05/2021
96;TENUES CERBUL;MATERIEL;16400411;SAV ;SG;15767,00;0,01450;47;11/02/2022
97;TRAVAUX ;LOCAUX ;16400606;CREMA ;BP;100000,00;0,04600;168;09/05/2014
98;EMPRUNT LOCAL  ;LOCAUX ;16400607;CREMA ;HSBC ;1630000,00;0,01380;123;05/02/2019
99;TRAVAUX CREMA PARKING;LOCAUX ;16400608;CREMA ;SG;150000,00;0,03950;84;28/10/2023
100;TENUES CERBUL;MATERIEL;16400306;ST CYR ;SG ;14763,00;0,01450;48;01/02/2022
101;TENUES CERBUL;MATERIEL;16400305;ST CYR ;SG ;19500,00;0,01810;37;14/01/2021
102;PGE;PGE;16400303;ST CYR ;SG ;100000,00;0,00580;59;22/05/2021
103;PGE ;PGE ;16457500;ST CYR ;HSBC;75000,00;0,00310;60;17/07/2021
104;TRAVAUX FACADE VARS;LOCAUX ;16400905;BENJAMINS ;CF;4731,00;0,00400;84;25/01/2020
105;ACHATS VARS  ;LOCAUX ;16400903;BENJAMINS ;SG;200000,00;0,01150;120;22/03/2017
106;ACHAT LE LUC;LOCAUX ;;ACA V;SG;90477,83;0,01850;108;30/05/2020
107;ACHAT ST CYR;LOCAUX ;;ACA V;BP;299000,00;0,02500;240;20/12/2015
108;EMPRUNT TERRAIN LUC ;LOCAUX ;;ACA VI;SG ;165000,00;0,01180;180;25/12/2021
109;DIVERS ;LOCAUX ;;ACA IV;CM;590000,00;0,02250;175;15/10/2020
110;LA SEYNE;LOCAUX ;;EMILIE CAF ;SG;500000,00;0,01980;168;16/10/2020
